Date,Flow_m3/s
01/01/1976,37.74887097
01/02/1976,27.49068966
01/03/1976,19.56790323
01/04/1976,38.20083333
01/05/1976,81.64048387
01/06/1976,133.6333333
01/07/1976,146.3620968
01/08/1976,225.8308065
01/09/1976,163.0315
01/10/1976,58.74403226
01/11/1976,37.024
01/12/1976,31.90548387
01/01/1977,28.01629032
01/02/1977,23.61928571
01/03/1977,18.07480769
01/04/1977,119.2131667
01/05/1977,317.7980645
01/06/1977,218.6754237
01/07/1977,220.1314754
01/08/1977,245.9796774
01/09/1977,196.7818966
01/10/1977,128.2808621
01/11/1977,321.8686441
01/12/1977,199.4485484
01/01/1978,102.2482456
01/02/1978,97.92314815
01/03/1978,210.0687097
01/04/1978,153.8874576
01/05/1978,287.0013333
01/06/1978,166.8045
01/07/1978,251.0508065
01/08/1978,208.5956452
01/09/1978,258.3423333
01/10/1978,182.1433871
01/11/1978,132.486
01/12/1978,123.0204839
01/01/1979,47.36080645
01/02/1979,110.4623214
01/03/1979,73.94129032
01/04/1979,111.7515
01/05/1979,139.3708065
01/06/1979,193.3193333
01/07/1979,141.8512903
01/08/1979,168.2082258
01/09/1979,81.84416667
01/10/1979,55.54983871
01/11/1979,39.48683333
01/12/1979,22.60596774
01/01/1980,15.91725806
01/02/1980,12.39224138
01/03/1980,13.7866129
01/04/1980,36.74465517
01/05/1980,133.9801613
01/06/1980,101.3943333
01/07/1980,114.1683871
01/08/1980,92.16193548
01/09/1980,91.25766667
01/10/1980,43.62935484
01/11/1980,42.28766667
01/12/1980,21.3295082
01/01/1981,14.73451613
01/02/1981,10.20767857
01/03/1981,53.31596774
01/04/1981,284.8685
01/05/1981,209.141129
01/06/1981,94.24883333
01/07/1981,133.653871
01/08/1981,265.965
01/09/1981,268.5415
01/10/1981,157.1245161
01/11/1981,95.58616667
01/12/1981,47.35129032
01/01/1982,33.49129032
01/02/1982,22.45892857
01/03/1982,12.81596774
01/04/1982,54.75383333
01/05/1982,202.5958065
01/06/1982,192.4806667
01/07/1982,121.8108065
01/08/1982,248.2622581
01/09/1982,142.3333333
01/10/1982,128.1941935
01/11/1982,252.484
01/12/1982,233.3564516
01/01/1983,86.66483871
01/02/1983,59.40053571
01/03/1983,35.41903226
01/04/1983,74.75233333
01/05/1983,147.0440323
01/06/1983,101.4441667
01/07/1983,106.1469355
01/08/1983,266.0125806
01/09/1983,257.024
01/10/1983,213.4654839
01/11/1983,192.57
01/12/1983,96.66870968
01/01/1984,38.5825
01/02/1984,33.9922
01/03/1984,24.3854
01/04/1984,20.6083
01/05/1984,18.3776
01/06/1984,26.0026
01/07/1984,26.1263
01/08/1984,28.9661
01/09/1984,46.9067
01/10/1984,30.5873
01/11/1984,25.6602
01/12/1984,26.4408
01/01/1985,21.2496
01/02/1985,25.602
01/03/1985,23.5871
01/04/1985,49.6934
01/05/1985,44.0964
01/06/1985,35.0975
01/07/1985,38.6054
01/08/1985,78.8149
01/09/1985,51.8211
01/10/1985,45.4292
01/11/1985,24.3699
01/12/1985,24.0883
01/01/1986,18.5878
01/02/1986,23.8397
01/03/1986,19.1841
01/04/1986,30.5613
01/05/1986,31.1007
01/06/1986,49.2968
01/07/1986,70.023
01/08/1986,76.7402
01/09/1986,69.2915
01/10/1986,24.9678
01/11/1986,24.0441
01/12/1986,23.6771
01/01/1987,25.2191
01/02/1987,27.1912
01/03/1987,31.3892
01/04/1987,43.1878
01/05/1987,37.5194
01/06/1987,70.934
01/07/1987,58.792
01/08/1987,46.1542
01/09/1987,30.095
01/10/1987,25.0819
01/11/1987,52.7756
01/12/1987,38.734
01/01/1988,36.9427
01/02/1988,21.2574
01/03/1988,33.2664
01/04/1988,57.3188
01/05/1988,65.3516
01/06/1988,41.3534
01/07/1988,69.1911
01/08/1988,86.4575
01/09/1988,25.6025
01/10/1988,25.6536
01/11/1988,28.2353
01/12/1988,38.536
01/01/1989,39.9536
01/02/1989,37.0771
01/03/1989,37.2588
01/04/1989,38.1684
01/05/1989,37.2717
01/06/1989,37.1642
01/07/1989,86.6316
01/08/1989,73.2056
01/09/1989,33.0415
01/10/1989,30.1809
01/11/1989,39.2912
01/12/1989,26.3736
