Date,Flow_m3/s
01/01/1965,26.1315
01/02/1965,24.8177
01/03/1965,24.6659
01/04/1965,26.2335
01/05/1965,26.536
01/06/1965,24.3968
01/07/1965,24.2069
01/08/1965,24.4953
01/09/1965,23.7162
01/10/1965,24.0051
01/11/1965,26.0913
01/12/1965,24.2113
01/01/1966,22.8741
01/02/1966,24.6375
01/03/1966,26.9759
01/04/1966,33.9179
01/05/1966,28.392
01/06/1966,26.9977
01/07/1966,27.4834
01/08/1966,30.2771
01/09/1966,36.12679994
01/10/1966,53.7966
01/11/1966,42.3214
01/12/1966,23.5765
01/01/1967,23.2565
01/02/1967,23.262
01/03/1967,23.1909
01/04/1967,28.1006
01/05/1967,37.8063
01/06/1967,33.4929
01/07/1967,40.96632188
01/08/1967,53.3264
01/09/1967,48.6839
01/10/1967,43.3011
01/11/1967,29.9719
01/12/1967,30.1869
01/01/1968,25.1598
01/02/1968,25.9578
01/03/1968,31.24799348
01/04/1968,48.99750437
01/05/1968,46.58429223
01/06/1968,36.13686328
01/07/1968,45.42708657
01/08/1968,31.74082565
01/09/1968,31.74082565
01/10/1968,38.3779
01/11/1968,27.3449
01/12/1968,26.0128
01/01/1969,27.7766
01/02/1969,26.6475
01/03/1969,25.0812
01/04/1969,29.9476
01/05/1969,26.2356
01/06/1969,26.2036
01/07/1969,26.9336
01/08/1969,28.045
01/09/1969,25.0961
01/10/1969,24.48
01/11/1969,23.2931
01/12/1969,28.1179
01/01/1970,30.0392
01/02/1970,23.743
01/03/1970,28.9395
01/04/1970,33.7539
01/05/1970,31.7626
01/06/1970,52.1436
01/07/1970,49.5867
01/08/1970,42.8302
01/09/1970,38.58668208
01/10/1970,23.319
01/11/1970,25.0434
01/12/1970,36.5013
01/01/1971,37.7984
01/02/1971,38.9465
01/03/1971,42.9408
01/04/1971,45.9801
01/05/1971,32.687
01/06/1971,27.9087
01/07/1971,27.1534
01/08/1971,25.0691
01/09/1971,24.5911
01/10/1971,27.2645
01/11/1971,32.4995
01/12/1971,38.1227
01/01/1972,24.1696
01/02/1972,30.4786
01/03/1972,19.7142
01/04/1972,18.1532
01/05/1972,29.9978
01/06/1972,37.0067
01/07/1972,50.5277
01/08/1972,32.0772
01/09/1972,30.8231
01/10/1972,29.8426
01/11/1972,27.5494
01/12/1972,48.4733
01/01/1973,52.7262
01/02/1973,31.2794
01/03/1973,28.5789
01/04/1973,25.1719
01/05/1973,25.031
01/06/1973,22.7175
01/07/1973,24.4793
01/08/1973,38.9399
01/09/1973,52.72620244
01/10/1973,31.27938632
01/11/1973,50.428
01/12/1973,45.1658
01/01/1974,34.7833
01/02/1974,28.957
01/03/1974,36.4262
01/04/1974,25.6099
01/05/1974,24.6829
01/06/1974,23.7359
01/07/1974,42.42800096
01/08/1974,35.16582182
01/09/1974,36.1081
01/10/1974,37.7756
01/11/1974,35.9219
01/12/1974,25.60992939
01/01/1975,63.1089
01/02/1975,47.3005
01/03/1975,38.1068
01/04/1975,25.9749
01/05/1975,20.9947
01/06/1975,23.4009
01/07/1975,58.0365
01/08/1975,24.4384
01/09/1975,29.9034
01/10/1975,27.7057
01/11/1975,38.10683069
01/12/1975,52.4367
01/01/1976,25.6357
