tributary,method,rmse,n_train,n_pred
Nyando,climatology_scaled_by_rain,,0,244
Nzoia,climatology_scaled_by_rain,,0,244
Yala,climatology_scaled_by_rain,,0,244
Awach,ridge_rain_seasonality_log1p,2.3919970553999748,220,244
Grumeti,ridge_rain_seasonality_log1p,3.324434790843679,180,244
Kagera,ridge_rain_seasonality_log1p,148.26831606189484,192,244
Katonga,ridge_rain_seasonality_log1p,2.9400935089201643,96,244
Magogo,ridge_rain_seasonality_log1p,2.305614548879011,220,244
Mbalangeti,ridge_rain_seasonality_log1p,2.4286181923312014,144,244
Migori,ridge_rain_seasonality_log1p,35.40730950263723,220,244
Mori,ridge_rain_seasonality_log1p,2.238314179795695,220,244
Rwizi,ridge_rain_seasonality_log1p,9.416193853154487,119,244
Simiyu,ridge_rain_seasonality_log1p,6.888441359468791,216,244
Sio_Malaba,ridge_rain_seasonality_log1p,4.36246970346764,204,244
Sondu,ridge_rain_seasonality_log1p,22.377768336156837,220,244
